Vehicle_Type,Vehicle_Route_Name,Latitude,Longitude,ID,Waypoint_ID
JEEP,SANTA MARIA-SAMPOL_2.1,14.81741590,120.95951680,TP001,SANTA MARIA-SAMPOL_2.1_TP001
JEEP,SANTA MARIA-SAMPOL_2.1,14.81729000,120.95932000,TP002,SANTA MARIA-SAMPOL_2.1_TP002
JEEP,SANTA MARIA-SAMPOL_2.1,14.81725000,120.95926000,TP003,SANTA MARIA-SAMPOL_2.1_TP003
JEEP,SANTA MARIA-SAMPOL_2.1,14.81725130,120.95926330,TP004,SANTA MARIA-SAMPOL_2.1_TP004
JEEP,SANTA MARIA-SAMPOL_2.1,14.81734000,120.95917000,TP005,SANTA MARIA-SAMPOL_2.1_TP005
JEEP,SANTA MARIA-SAMPOL_2.1,14.81741000,120.95912000,TP006,SANTA MARIA-SAMPOL_2.1_TP006
JEEP,SANTA MARIA-SAMPOL_2.1,14.81751000,120.95905000,TP007,SANTA MARIA-SAMPOL_2.1_TP007
JEEP,SANTA MARIA-SAMPOL_2.1,14.81758000,120.95902000,TP008,SANTA MARIA-SAMPOL_2.1_TP008
JEEP,SANTA MARIA-SAMPOL_2.1,14.81769000,120.95895000,TP009,SANTA MARIA-SAMPOL_2.1_TP009
JEEP,SANTA MARIA-SAMPOL_2.1,14.81793000,120.95882000,TP010,SANTA MARIA-SAMPOL_2.1_TP010
JEEP,SANTA MARIA-SAMPOL_2.1,14.81817000,120.95869000,TP011,SANTA MARIA-SAMPOL_2.1_TP011
JEEP,SANTA MARIA-SAMPOL_2.1,14.81851000,120.95855000,TP012,SANTA MARIA-SAMPOL_2.1_TP012
JEEP,SANTA MARIA-SAMPOL_2.1,14.81852000,120.95855000,TP013,SANTA MARIA-SAMPOL_2.1_TP013
JEEP,SANTA MARIA-SAMPOL_2.1,14.81860000,120.95851000,TP014,SANTA MARIA-SAMPOL_2.1_TP014
JEEP,SANTA MARIA-SAMPOL_2.1,14.81867000,120.95847000,TP015,SANTA MARIA-SAMPOL_2.1_TP015
JEEP,SANTA MARIA-SAMPOL_2.1,14.81881000,120.95840000,TP016,SANTA MARIA-SAMPOL_2.1_TP016
JEEP,SANTA MARIA-SAMPOL_2.1,14.81898000,120.95829000,TP017,SANTA MARIA-SAMPOL_2.1_TP017
JEEP,SANTA MARIA-SAMPOL_2.1,14.81911000,120.95822000,TP018,SANTA MARIA-SAMPOL_2.1_TP018
JEEP,SANTA MARIA-SAMPOL_2.1,14.81972000,120.95784000,TP019,SANTA MARIA-SAMPOL_2.1_TP019
JEEP,SANTA MARIA-SAMPOL_2.1,14.81974000,120.95784000,TP020,SANTA MARIA-SAMPOL_2.1_TP020
JEEP,SANTA MARIA-SAMPOL_2.1,14.81975000,120.95783000,TP021,SANTA MARIA-SAMPOL_2.1_TP021
JEEP,SANTA MARIA-SAMPOL_2.1,14.81976000,120.95783000,TP022,SANTA MARIA-SAMPOL_2.1_TP022
JEEP,SANTA MARIA-SAMPOL_2.1,14.81977000,120.95783000,TP023,SANTA MARIA-SAMPOL_2.1_TP023
JEEP,SANTA MARIA-SAMPOL_2.1,14.81978000,120.95783000,TP024,SANTA MARIA-SAMPOL_2.1_TP024
JEEP,SANTA MARIA-SAMPOL_2.1,14.81979000,120.95783000,TP025,SANTA MARIA-SAMPOL_2.1_TP025
JEEP,SANTA MARIA-SAMPOL_2.1,14.81980000,120.95783000,TP026,SANTA MARIA-SAMPOL_2.1_TP026
JEEP,SANTA MARIA-SAMPOL_2.1,14.81982000,120.95783000,TP027,SANTA MARIA-SAMPOL_2.1_TP027
JEEP,SANTA MARIA-SAMPOL_2.1,14.81984000,120.95784000,TP028,SANTA MARIA-SAMPOL_2.1_TP028
JEEP,SANTA MARIA-SAMPOL_2.1,14.81985000,120.95784000,TP029,SANTA MARIA-SAMPOL_2.1_TP029
JEEP,SANTA MARIA-SAMPOL_2.1,14.81986000,120.95785000,TP030,SANTA MARIA-SAMPOL_2.1_TP030
JEEP,SANTA MARIA-SAMPOL_2.1,14.81987000,120.95785000,TP031,SANTA MARIA-SAMPOL_2.1_TP031
JEEP,SANTA MARIA-SAMPOL_2.1,14.81988000,120.95785000,TP032,SANTA MARIA-SAMPOL_2.1_TP032
JEEP,SANTA MARIA-SAMPOL_2.1,14.81989000,120.95786000,TP033,SANTA MARIA-SAMPOL_2.1_TP033
